th	0.2586968038142327
km	0.11813526399434929
oz	0.0799929366060392
mm	0.06763199717464241
xxxx	0.05315203955500618
au	0.046088645594208014
fl	0.04061451527458944
vol	0.03814232738831008
cal	0.03514038495497086
cm	0.034610630407911
nnnn	0.024721878862793572
mg	0.022426275825534168
ml	0.021896521278474308
ft	0.021719936429454353
lb	0.01995408793925481
sp	0.01889457884513509
kg	0.017128730354935548
yoyo	0.015009712166696098
chun	0.01377361822355642
MM	0.010241921243157337
conf	0.008829242450997704
pg	0.008476072752957796
deg	0.007416563658838072
cond	0.0038848666784389897
luma	0.002472187886279357
cannot	0.0019424333392194949
Mm	0.0019424333392194949
ffff	0.0015892636411795867
dunno	0.0014126787921596327
rpg	0.0012360939431396785
franken	0.0010595090941197245
orig	0.0007063393960798164
tsp	0.0005297545470598623
mM	0.0005297545470598623
