masters	0.17333333333333334
poet	0.17333333333333334
wells	0.13333333333333333
graves	0.08
greys	0.06666666666666667
scrib	0.04666666666666667
decker	0.03333333333333333
warren	0.03333333333333333
wain	0.02666666666666667
writer	0.02666666666666667
cranes	0.02666666666666667
poets	0.02
forester	0.02
journalist	0.02
SCRIB	0.02
scribe	0.013333333333333334
bards	0.013333333333333334
writers	0.013333333333333334
Scribe	0.013333333333333334
Author	0.013333333333333334
spender	0.006666666666666667
suckling	0.006666666666666667
compiler	0.006666666666666667
biographer	0.006666666666666667
warrens	0.006666666666666667
author	0.0
