monk	0.3022269353128314
moor	0.17179215270413575
guru	0.07158006362672323
imam	0.06521739130434782
pope	0.05567338282078473
NUN	0.03499469777306469
savior	0.033934252386002124
manes	0.03181336161187699
christians	0.03181336161187699
saviour	0.029692470837751853
Nun	0.02863202545068929
swami	0.022269353128313893
monks	0.022269353128313893
nuns	0.015906680805938496
Monk	0.015906680805938496
eddies	0.012725344644750796
IMAM	0.012725344644750796
mahdi	0.009544008483563097
dominicans	0.009544008483563097
Guru	0.009544008483563097
NuN	0.009544008483563097
wasps	0.007953340402969248
sadhu	0.006362672322375398
GURU	0.006362672322375398
Imam	0.006362672322375398
friars	0.003181336161187699
novice	0.003181336161187699
abbot	0.003181336161187699
satanist	0.003181336161187699
redeemer	0.003181336161187699
moors	0.003181336161187699
wesleyan	0.003181336161187699
novices	0.003181336161187699
saviours	0.0010604453870625664
nun	-0.05090137857900318
